Cust_ID,Target,Age,Gender,Balance,Occupation,No_OF_CR_TXNS,AGE_BKT,Holding_Period,SCR
C1,0,30,M,160378.6,SAL,2,26-30,9,826
C2,0,43,M,26275.55,PROF,23,41-45,23,270
C3,0,53,M,33616.47,SAL,45,>50,6,341
C4,0,45,M,1881.37,PROF,3,41-45,16,284
C5,0,37,M,3274.37,PROF,33,36-40,15,533
C6,0,41,M,197632.53,SAL,6,41-45,2,253
C7,1,46,M,36022.2,PROF,39,46-50,1,891
C8,1,33,M,81362.58,PROF,13,31-35,1,713
C9,1,43,M,70759.97,PROF,15,41-45,6,884
C10,1,41,M,84370.59,PROF,14,41-45,9,843
C11,0,36,M,45064.42,PROF,14,36-40,30,629
C12,0,36,M,57802.68,PROF,37,36-40,18,426
C13,0,27,M,63177.16,PROF,8,26-30,19,584
C14,0,41,O,109546.61,SAL,38,41-45,24,522
C15,0,41,O,51670.56,SAL,32,41-45,4,413
C16,0,47,O,51758.24,SAL,29,46-50,22,481
C17,0,36,O,114633.4,PROF,30,36-40,31,189
C18,0,37,O,68043.14,PROF,37,36-40,27,438
C19,0,35,O,14364.24,SAL,21,31-35,23,298
C20,0,55,O,229658.69,SAL,12,>50,1,327
C21,0,36,O,1875.01,PROF,39,36-40,9,731
C22,0,30,O,6529.39,PROF,46,26-30,13,971
C23,0,48,O,18112.13,PROF,44,46-50,18,761
C24,0,35,O,3175.59,SAL,27,31-35,23,149
C25,0,52,O,3080.09,SELF-EMP,8,>50,0,183
C26,0,27,O,26931.08,SELF-EMP,24,26-30,22,249
C27,0,43,O,10794.88,PROF,23,41-45,20,297
C28,0,50,O,887.52,PROF,24,46-50,29,803
C29,0,42,O,3720.71,SAL,45,41-45,30,255
C30,0,45,O,96998.38,PROF,11,41-45,21,815
C31,0,35,O,6068.68,SELF-EMP,36,31-35,14,463
C32,0,43,O,17797.41,PROF,7,41-45,7,866
C33,0,53,O,18444.45,SELF-EMP,26,>50,19,923
C34,0,53,O,44880.16,SAL,35,>50,4,567
C35,0,42,O,32834.81,SAL,36,41-45,8,446
C36,0,30,O,148096.36,PROF,33,26-30,7,818
C37,0,39,O,81890.14,SAL,26,36-40,31,726
C38,0,36,O,99252.2,SAL,46,36-40,21,460
C39,0,31,F,38338.05,SELF-EMP,9,31-35,1,349
C40,0,39,F,133050.07,SAL,17,36-40,14,769
C41,0,52,F,120482.34,SAL,8,>50,11,507
C42,0,43,F,569.22,PROF,45,41-45,0,449
C43,0,35,F,44007.7,PROF,25,31-35,8,382
C44,0,46,F,16028.87,PROF,47,46-50,5,238
C45,0,55,F,7200.64,SAL,36,>50,22,384
C46,0,38,F,905.8,SAL,41,36-40,4,493
C47,1,43,F,5456.31,PROF,26,41-45,8,974
C48,1,45,F,7484.27,PROF,11,41-45,9,711
C49,1,44,O,2771.93,SELF-EMP,15,41-45,1,772
C50,1,31,O,6829.03,PROF,11,31-35,1,469
C51,0,54,O,2427.7,SAL,11,>50,14,740
C52,0,53,O,22135.11,PROF,3,>50,13,477
C53,0,51,O,7006.12,SAL,5,>50,13,476
C54,0,47,O,9760.97,SAL,6,46-50,17,907
C55,0,49,O,9864.65,SELF-EMP,41,46-50,30,768
C56,0,51,O,4972.97,PROF,49,>50,15,905
C57,0,51,O,5445.04,PROF,2,>50,4,266
C58,0,47,O,7223.2,PROF,14,46-50,17,545
C59,0,43,O,575.13,PROF,0,41-45,18,400
C60,0,43,O,9715.45,PROF,37,41-45,19,940
C61,0,52,F,14503.67,SAL,27,>50,15,742
C62,0,45,F,8363.78,SAL,38,41-45,2,604
C63,0,32,F,5294.85,SAL,50,31-35,14,320
C64,0,52,F,67561.97,PROF,7,>50,22,182
C65,0,51,F,229658.69,PROF,42,>50,11,102
C66,0,30,F,6340.06,PROF,2,26-30,27,373
C67,0,46,F,179052.66,PROF,7,46-50,21,621
C68,0,28,F,20765.28,PROF,23,26-30,18,184
C69,0,39,F,77940.42,SAL,4,36-40,20,211
C70,0,40,F,34143.33,PROF,32,36-40,1,901
C71,0,34,F,20592.72,SAL,45,31-35,12,100
C72,0,47,F,20412.87,SAL,38,46-50,7,547
C73,0,37,F,101596.71,SAL,44,36-40,6,272
C74,0,42,F,52712.64,PROF,34,41-45,6,104
C75,0,41,F,232346.18,SAL,43,41-45,6,869
C76,0,55,F,14021.5,PROF,50,>50,27,813
C77,0,54,F,4243.01,PROF,7,>50,1,835
C78,0,42,F,6235.11,SELF-EMP,21,41-45,29,260
C79,0,43,F,217180.8,SAL,29,41-45,15,641
C80,1,34,F,80811.59,SELF-EMP,16,31-35,1,436
C81,0,30,F,47391.7,PROF,0,26-30,20,395
C82,0,47,F,211587.46,SAL,31,46-50,4,378
C83,0,41,F,246269.73,SAL,5,41-45,21,610
C84,0,42,F,157756.37,PROF,12,41-45,31,478
C85,0,55,F,205227.55,SAL,22,>50,15,974
C86,1,36,F,107010.61,NA,18,36-40,2,883
C87,1,43,F,205227.55,PROF,14,41-45,1,940
C88,1,46,F,34049.77,PROF,14,46-50,1,690
C89,0,32,F,87067.12,SAL,2,31-35,22,340
C90,0,38,F,4820.78,SAL,34,36-40,12,109
C91,0,38,F,41111.36,SAL,28,36-40,4,542
C92,0,53,F,44633.89,SAL,9,>50,11,423
C93,0,44,F,2736.14,SAL,10,41-45,14,288
C94,0,28,F,80198.06,SELF-EMP,9,26-30,18,867
C95,0,35,F,36145.76,SELF-EMP,42,31-35,11,667
C96,0,43,F,27254.78,SAL,26,41-45,16,342
C97,0,30,F,79738.08,SAL,13,26-30,18,918
C98,0,46,F,77963.2,SAL,3,46-50,11,287
C99,0,34,F,79762.01,SAL,6,31-35,25,975
C100,0,49,F,60849.26,PROF,49,46-50,26,328
C101,0,50,F,182094.26,SAL,39,46-50,22,674
C102,0,49,F,104133.75,PROF,34,46-50,26,676
C103,0,40,F,212089.48,PROF,50,36-40,6,775
C104,0,41,F,212521.94,PROF,39,41-45,15,485
C105,0,32,F,7711.68,PROF,36,31-35,1,772
C106,0,49,F,194768.49,PROF,24,46-50,0,184
C107,0,49,F,11564.93,PROF,2,46-50,12,559
C108,0,52,F,126216.23,PROF,8,>50,28,707
C109,0,48,F,52066.01,PROF,31,46-50,19,199
C110,0,51,F,12685.91,SAL,23,>50,1,156
C111,0,40,F,31390.69,PROF,39,36-40,0,616
C112,0,48,F,15360.49,SELF-EMP,30,46-50,28,947
C113,0,49,F,16957.2,SAL,40,46-50,0,566
C114,0,41,F,86120.26,PROF,10,41-45,1,833
C115,0,31,F,21496.29,PROF,7,31-35,19,508
C116,0,49,F,152437.8,PROF,25,46-50,8,138
C117,0,25,F,36007.82,SAL,45,<25,6,471
C118,0,50,F,29448,PROF,3,46-50,18,100
C119,0,31,F,10846.55,SAL,18,31-35,27,852
C120,1,47,F,27247.08,SELF-EMP,11,46-50,2,484
C121,0,52,F,7507.37,SAL,43,>50,8,464
C122,0,54,F,243324.6,SAL,38,>50,10,482
C123,0,33,F,65830.34,PROF,7,31-35,31,665
